,GO_2011F,GO_2011G,GO_2011H,GO_2011J,GO_2011K,GO_2011M,GO_2011N,GO_2011Q,GO_2011U,GO_2011V,GO_2011X,GO_2011Z,GO_2012F,GO_2012G,GO_2012H,GO_2012J,GO_2012K,GO_2012M,GO_2012N,GO_2012Q,GO_2012U,GO_2012V,GO_2012X,GO_2012Z,GO_2013F,GO_2013G,GO_2013H,GO_2013J,GO_2013K,GO_2013M,GO_2013N,GO_2013Q,GO_2013U,GO_2013V,GO_2013X,GO_2013Z,GO_2014F,GO_2014G,GO_2014H,GO_2014J,GO_2014K,GO_2014M,GO_2014N,GO_2014Q,GO_2014U,GO_2014V,GO_2014X,GO_2014Z,GO_2015F,GO_2015G,GO_2015H,GO_2015J,GO_2015K,GO_2015M,GO_2015N,GO_2015Q,GO_2015U,GO_2015V,GO_2015X,GO_2015Z,GO_2016F,GO_2016G,GO_2016H,GO_2016J,GO_2016K,GO_2016M,GO_2016N,GO_2016Q,GO_2016U,GO_2016V,GO_2016X,GO_2016Z,GO_2017F,GO_2017G,GO_2017H,GO_2017J,GO_2017K,GO_2017M,GO_2017N,GO_2017Q,GO_2017U,GO_2017V,GO_2017X,GO_2017Z,GO_2018F,GO_2018G,GO_2018H,GO_2018J,GO_2018K,GO_2018M,GO_2018N,GO_2018Q,GO_2018U,GO_2018V,GO_2018X,GO_2018Z,GO_2019F,GO_2019G,GO_2019H,GO_2019J,GO_2019K,GO_2019M,GO_2019N,GO_2019Q,GO_2019U,GO_2019V,GO_2019X,GO_2019Z,GO_2020F,GO_2020G,GO_2020H,GO_2020J,GO_2020K,GO_2020M,GO_2020N,GO_2020Q,GO_2020U,GO_2020V,GO_2020X,GO_2020Z,GO_2021F,GO_2021G,GO_2021H,GO_2021J,GO_2021K,GO_2021M,GO_2021N,GO_2021Q,GO_2021U,GO_2021V,GO_2021X,GO_2021Z,GO_2022F,GO_2022G,GO_2022H,GO_2022J,GO_2022K,GO_2022M,GO_2022N,GO_2022Q,GO_2022U,GO_2022V,GO_2022X,GO_2022Z,GO_2023F,GO_2023G,GO_2023H,GO_2023J,GO_2023K,GO_2023M,GO_2023N,GO_2023Q,GO_2023U,GO_2023V,GO_2023X,GO_2023Z,GO_2024F,GO_2024G,GO_2024H,GO_2024J,GO_2024K,GO_2024M,GO_2024N,GO_2024Q,GO_2024U,GO_2024V,GO_2024X,GO_2024Z,GO_2025F,GO_2025G,GO_2025H,GO_2025J,GO_2025K,GO_2025M,GO_2025N,GO_2025Q,GO_2025U,GO_2025V,GO_2025X,GO_2025Z,GO_2026F,GO_2026G,GO_2026H,GO_2026J,GO_2026K,GO_2026M,GO_2026N,GO_2026Q,GO_2026U,GO_2026V,GO_2026X,GO_2026Z,GO_2027F,GO_2027G,GO_2027H,GO_2027J,GO_2027K,GO_2027M,GO_2027N,GO_2027Q,GO_2027U,GO_2027V,GO_2027X,GO_2027Z,,,,,,,,,
1/4/10,719.5,724.5,728.75,732.75,736.75,740.5,744.25,748,750.5,753,755.25,757.5,760.25,763,765.5,767.75,770,772,774,776,777.75,779.5,781.25,783,,,786.75,,,789.75,,,792.75,,,794.75,,,,,,801.25,,,,,,801.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/10,723.25,728,732.25,736,740,743.5,747.25,751,754,756,757.75,759.5,762,764.5,766.5,768.5,770.5,772.5,774.25,776,777.75,779.5,781.25,783,,,786.75,,,789.75,,,792.75,,,794.75,,,,,,801.25,,,,,,801.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/10,730.75,735.75,740,744,747.75,751.25,755,758.5,761.5,764,765.75,767.5,770,772.5,774.5,776.5,778.5,780.5,782.25,784,785.75,787.5,789.25,791,,,794.75,,,797.75,,,800.75,,,802.75,,,,,,809.25,,,,,,809.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/10,730.5,735.5,739.75,743.75,747.5,751.25,754.75,758.25,761.25,763.75,765.75,767.5,770,772.5,774.5,776.5,778.5,780.5,782.25,784,785.75,787.5,789.25,791,,,794.75,,,797.75,,,800.75,,,802.75,,,,,,809.25,,,,,,809.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/10,725,730,734.25,738.25,742,745.75,749.25,752.75,755.75,758.25,760.25,762,764.5,767,769,771,773,775,776.75,778.5,780.25,782,783.75,785.5,,,789.25,,,792.25,,,795.25,,,797.25,,,,,,803.75,,,,,,803.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/10,725,730,734.25,738.25,742,745.75,749.75,753.5,756.5,758.5,760.5,762.25,764.75,767.25,769.25,771.25,773.25,775.25,777,778.75,780.5,782.25,784,785.75,,,789.5,,,792.5,,,795.5,,,797.5,,,,,,804,,,,,,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/10,717.5,722.5,727,731,735,739,742.75,746.5,749.75,752.25,754.5,756.5,759,761.5,763.75,766,768,770,772,774,775.75,777.5,779.25,781,,,784.75,,,787.75,,,790.75,,,792.75,,,,,,799.25,,,,,,799.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/10,698.75,704,708.5,712.75,716.75,720.75,724.75,728.5,732,734.5,736.75,738.75,741.25,743.75,746,748.25,750.25,752.25,754.25,756.25,758,759.75,761.5,763.25,763.25,,767,,,770,,,773,,,775,,,,,,781.5,,,,,,781.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/10,701.5,706.75,711.25,715.5,719.5,723.5,727.5,731,734.5,737.25,739.5,741.5,744,746.5,749,751.25,753.5,755.75,758,760,762,764,765.75,767.5,767.5,,771.25,,,774.25,,,777.25,,,779.25,,,,,,785.75,,,,,,785.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/10,696.25,701.5,706,710.5,714.5,718.5,722.75,726.25,729.5,732,734.25,736.5,739,741.5,744,746.5,748.75,751.25,753.5,755.5,757.5,759.25,761,762.5,762.5,,766.25,,,769.5,,,772.75,,,775,,,,,,782,,,,,,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
